name,length,polarity,nominal pattern,nominal pattern color,ssith pattern,ssith pattern color,brake hack pattern,brake hack pattern color,throttle hack pattern,throttle hack pattern color,steering hack pattern,steering hack pattern color,transmission hack pattern,transmission hack pattern color,all off,all off color,all on,all on color
leds_trunk_1,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_2,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_abs_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_3,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_transmission_ctrl_1,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_transmission_ctrl_2,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_brake_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_electric_power_steer_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_lane_keep_assist,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",on,"(60,0,0)",on,"(60,0,0)",pulse,"(255,0,0)",on,"(60,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_4,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_electronic_stability_ctrl,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",on,"(60,0,0)",pulse,"(255,0,0)",on,"(60,0,0)",on,"(60,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_engine_control_module_1,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_engine_control_module_2,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_5,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_side_underskirt,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_rear_brake_1,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_rear_brake_2,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_rear_underskirt,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_side_underskirt,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_rear_brake_1,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_rear_brake_2,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_front_brake_1,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_front_brake_2,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_front_underskirt,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_front_wheel_well,64,normal,on,"(0,255,0)",on,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_front_brake_1,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_front_brake_2,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_front_wheel_well,64,normal,on,"(0,255,0)",on,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_over_steering_wheel,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(60,0,0)",on,"(60,0,0)",pulse,"(255,0,0)",on,"(60,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_cameras,64,normal,on,"(255,255,255)",on,"(255,255,255)",on,"(255,255,255)",on,"(255,255,255)",on,"(255,255,255)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_target_6,64,normal,off,"(0,0,0)",pulse,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_target_5,64,normal,off,"(0,0,0)",pulse,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_target_4,64,normal,off,"(0,0,0)",pulse,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_15,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_vertical_line,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_can_display,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_24,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_16,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_target_1,64,normal,pulse,"(0,255,0)",off,"(0,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_target_2,64,normal,pulse,"(0,255,0)",off,"(0,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_target_3,64,normal,pulse,"(0,255,0)",off,"(0,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_open,64,normal,off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)"
leds_back_17,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_28,64,normal,on,"(0,255,0)",on,"(0,0,255)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",on,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_26,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_back_25,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"